zcyc

tradedate;tradetime;period_10.0
01.11.2025;18:49:59;14,71
03.11.2025;18:49:58;14,58
05.11.2025;18:49:56;14,65
06.11.2025;18:49:59;14,68
07.11.2025;18:49:58;14,66
10.11.2025;18:49:56;14,52
11.11.2025;18:49:58;14,42
12.11.2025;18:49:57;14,36
13.11.2025;18:49:58;14,35
14.11.2025;18:49:59;14,36
17.11.2025;18:49:56;14,38
18.11.2025;18:49:57;14,38
19.11.2025;18:49:56;14,31
20.11.2025;18:49:58;14,35
21.11.2025;18:49:58;14,27
24.11.2025;18:49:53;14,27
25.11.2025;18:49:53;14,34
26.11.2025;18:49:58;14,37
27.11.2025;18:49:59;14,41
28.11.2025;18:49:59;14,33


