zcyc

tradedate;tradetime;period_7.0
01.11.2025;18:49:59;14,96
03.11.2025;18:49:58;14,78
05.11.2025;18:49:56;14,9
06.11.2025;18:49:59;14,96
07.11.2025;18:49:58;14,91
10.11.2025;18:49:56;14,78
11.11.2025;18:49:58;14,68
12.11.2025;18:49:57;14,63
13.11.2025;18:49:58;14,61
14.11.2025;18:49:59;14,66
17.11.2025;18:49:56;14,71
18.11.2025;18:49:57;14,69
19.11.2025;18:49:56;14,61
20.11.2025;18:49:58;14,62
21.11.2025;18:49:58;14,52
24.11.2025;18:49:53;14,56
25.11.2025;18:49:53;14,6
26.11.2025;18:49:58;14,67
27.11.2025;18:49:59;14,72
28.11.2025;18:49:59;14,65


