zcyc

tradedate;tradetime;period_20.0
01.11.2025;18:49:59;14,21
03.11.2025;18:49:58;14,21
05.11.2025;18:49:56;14,12
06.11.2025;18:49:59;14,09
07.11.2025;18:49:58;14,12
10.11.2025;18:49:56;13,97
11.11.2025;18:49:58;13,84
12.11.2025;18:49:57;13,75
13.11.2025;18:49:58;13,77
14.11.2025;18:49:59;13,7
17.11.2025;18:49:56;13,71
18.11.2025;18:49:57;13,72
19.11.2025;18:49:56;13,68
20.11.2025;18:49:58;13,75
21.11.2025;18:49:58;13,7
24.11.2025;18:49:53;13,66
25.11.2025;18:49:53;13,75
26.11.2025;18:49:58;13,69
27.11.2025;18:49:59;13,78
28.11.2025;18:49:59;13,67


