zcyc

tradedate;tradetime;period_0.5
01.11.2025;18:49:59;12,58
03.11.2025;18:49:58;12,38
05.11.2025;18:49:56;12,59
06.11.2025;18:49:59;12,38
07.11.2025;18:49:58;12,46
10.11.2025;18:49:56;12,45
11.11.2025;18:49:58;12,35
12.11.2025;18:49:57;12,15
13.11.2025;18:49:58;11,85
14.11.2025;18:49:59;11,88
17.11.2025;18:49:56;11,89
18.11.2025;18:49:57;12,32
19.11.2025;18:49:56;12,38
20.11.2025;18:49:58;12,55
21.11.2025;18:49:58;13,01
24.11.2025;18:49:53;12,98
25.11.2025;18:49:53;13,16
26.11.2025;18:49:58;13,49
27.11.2025;18:49:59;13,41
28.11.2025;18:49:59;13,55


