zcyc

tradedate;tradetime;period_3.0
01.11.2025;18:49:59;14,86
03.11.2025;18:49:58;14,82
05.11.2025;18:49:56;14,69
06.11.2025;18:49:59;14,78
07.11.2025;18:49:58;14,68
10.11.2025;18:49:56;14,6
11.11.2025;18:49:58;14,49
12.11.2025;18:49:57;14,45
13.11.2025;18:49:58;14,33
14.11.2025;18:49:59;14,39
17.11.2025;18:49:56;14,54
18.11.2025;18:49:57;14,5
19.11.2025;18:49:56;14,46
20.11.2025;18:49:58;14,47
21.11.2025;18:49:58;14,44
24.11.2025;18:49:53;14,54
25.11.2025;18:49:53;14,54
26.11.2025;18:49:58;14,76
27.11.2025;18:49:59;14,83
28.11.2025;18:49:59;14,78


