zcyc

tradedate;tradetime;period_15.0
01.11.2025;18:49:59;14,4
03.11.2025;18:49:58;14,34
05.11.2025;18:49:56;14,32
06.11.2025;18:49:59;14,3
07.11.2025;18:49:58;14,32
10.11.2025;18:49:56;14,17
11.11.2025;18:49:58;14,05
12.11.2025;18:49:57;13,98
13.11.2025;18:49:58;13,98
14.11.2025;18:49:59;13,94
17.11.2025;18:49:56;13,95
18.11.2025;18:49:57;13,96
19.11.2025;18:49:56;13,92
20.11.2025;18:49:58;13,97
21.11.2025;18:49:58;13,91
24.11.2025;18:49:53;13,88
25.11.2025;18:49:53;13,97
26.11.2025;18:49:58;13,94
27.11.2025;18:49:59;14,01
28.11.2025;18:49:59;13,91


