zcyc

tradedate;tradetime;period_1.0
01.11.2025;18:49:59;13,44
03.11.2025;18:49:58;13,36
05.11.2025;18:49:56;13,31
06.11.2025;18:49:59;13,22
07.11.2025;18:49:58;13,24
10.11.2025;18:49:56;13,2
11.11.2025;18:49:58;13,1
12.11.2025;18:49:57;12,97
13.11.2025;18:49:58;12,71
14.11.2025;18:49:59;12,76
17.11.2025;18:49:56;12,82
18.11.2025;18:49:57;13,08
19.11.2025;18:49:56;13,12
20.11.2025;18:49:58;13,23
21.11.2025;18:49:58;13,54
24.11.2025;18:49:53;13,55
25.11.2025;18:49:53;13,68
26.11.2025;18:49:58;13,99
27.11.2025;18:49:59;13,95
28.11.2025;18:49:59;14,03


