zcyc

tradedate;tradetime;period_0.75
01.11.2025;18:49:59;13,05
03.11.2025;18:49:58;12,92
05.11.2025;18:49:56;12,98
06.11.2025;18:49:59;12,83
07.11.2025;18:49:58;12,88
10.11.2025;18:49:56;12,85
11.11.2025;18:49:58;12,76
12.11.2025;18:49:57;12,59
13.11.2025;18:49:58;12,32
14.11.2025;18:49:59;12,36
17.11.2025;18:49:56;12,39
18.11.2025;18:49:57;12,73
19.11.2025;18:49:56;12,78
20.11.2025;18:49:58;12,92
21.11.2025;18:49:58;13,3
24.11.2025;18:49:53;13,29
25.11.2025;18:49:53;13,44
26.11.2025;18:49:58;13,77
27.11.2025;18:49:59;13,7
28.11.2025;18:49:59;13,81


