zcyc

tradedate;tradetime;period_2.0
01.11.2025;18:49:59;14,43
03.11.2025;18:49:58;14,44
05.11.2025;18:49:56;14,22
06.11.2025;18:49:59;14,26
07.11.2025;18:49:58;14,2
10.11.2025;18:49:56;14,13
11.11.2025;18:49:58;14,04
12.11.2025;18:49:57;13,97
13.11.2025;18:49:58;13,79
14.11.2025;18:49:59;13,85
17.11.2025;18:49:56;13,97
18.11.2025;18:49:57;14,03
19.11.2025;18:49:56;14,02
20.11.2025;18:49:58;14,07
21.11.2025;18:49:58;14,16
24.11.2025;18:49:53;14,23
25.11.2025;18:49:53;14,28
26.11.2025;18:49:58;14,54
27.11.2025;18:49:59;14,57
28.11.2025;18:49:59;14,57


